id,area_id,name
4d842e84-12f5-487a-97ee-672235b7cab0,b63f8b99-5928-4745-98ca-8561d674127d,Discovery Bay
776c53e4-32b2-4889-8c01-7c7274dc5376,25d30aed-f411-4577-a301-d2df1e4d5b3e,Los Angeles
de3bb50d-f9ac-4aa1-af56-6b7d763bcd1c,25d30aed-f411-4577-a301-d2df1e4d5b3e,West Hollywood
d92bf585-5f51-482e-9f3d-e3a8d6c63aab,25d30aed-f411-4577-a301-d2df1e4d5b3e,Bell
be780de2-3a6f-4d43-a9a4-70a5cbacca8f,25d30aed-f411-4577-a301-d2df1e4d5b3e,Bell Gardens
3ee06d5f-9447-4993-a084-a6fe6dd3b3ea,25d30aed-f411-4577-a301-d2df1e4d5b3e,Beverly Hills
c815a663-af91-41b7-a2d2-73952fac24ef,25d30aed-f411-4577-a301-d2df1e4d5b3e,Compton
4a3ef1d0-5725-4c45-9bf2-68c700d8d76f,25d30aed-f411-4577-a301-d2df1e4d5b3e,Culver City
5f34a77b-dec1-4361-99e3-e23df51acc45,25d30aed-f411-4577-a301-d2df1e4d5b3e,Downey
64bfe0a3-29b8-4ba1-9927-ee1e35378265,25d30aed-f411-4577-a301-d2df1e4d5b3e,El Segundo
deb01bb8-112f-4fcf-9cf9-d19c172e0c4d,25d30aed-f411-4577-a301-d2df1e4d5b3e,Gardena
4009c0bb-8946-4197-820a-97941ad9dbb8,25d30aed-f411-4577-a301-d2df1e4d5b3e,Hawthorne
949f8599-bba7-46d2-b706-cb6ab419cd3f,25d30aed-f411-4577-a301-d2df1e4d5b3e,Hermosa Beach
bca78957-9ce5-4c5b-8738-9af89e86fca4,25d30aed-f411-4577-a301-d2df1e4d5b3e,Huntington Park
27d3edcd-907b-4fb3-8ba6-80b7e1863cbd,25d30aed-f411-4577-a301-d2df1e4d5b3e,Lawndale
b6f4ed7d-4459-4250-86f7-f60725637433,25d30aed-f411-4577-a301-d2df1e4d5b3e,Lynwood
d46c7ba2-fad6-4058-bd9b-61e81e7b2ad3,25d30aed-f411-4577-a301-d2df1e4d5b3e,Malibu
6343d220-b870-40a6-bd37-19ce69fe534f,25d30aed-f411-4577-a301-d2df1e4d5b3e,Manhattan Beach
b070082e-8c84-4854-b735-62b8e21557be,25d30aed-f411-4577-a301-d2df1e4d5b3e,Maywood
e0629426-b175-438c-9bc9-3684bbc95ce8,25d30aed-f411-4577-a301-d2df1e4d5b3e,Pacific Palisades
573a09c4-a3e2-47d9-a131-998766c3ee7c,25d30aed-f411-4577-a301-d2df1e4d5b3e,Palos Verdes Peninsula
1334172c-6e1b-40ee-b740-c1882d899766,25d30aed-f411-4577-a301-d2df1e4d5b3e,Rancho Palos Verdes
c1e98fa9-8943-4919-aec4-026d493fb8af,25d30aed-f411-4577-a301-d2df1e4d5b3e,Redondo Beach
24b95fac-a316-4c24-8347-f90ea376864a,25d30aed-f411-4577-a301-d2df1e4d5b3e,South Gate
1de25b64-fcbb-400e-9d5a-30668916d95a,25d30aed-f411-4577-a301-d2df1e4d5b3e,Topanga
5a4c49fa-524c-4ad9-bfe8-9fa16bea8fca,25d30aed-f411-4577-a301-d2df1e4d5b3e,Venice
0dcb33ef-8740-43ab-960d-a11a8d99bd0a,25d30aed-f411-4577-a301-d2df1e4d5b3e,Marina Del Rey
caf34d97-ace4-44af-851d-b331a0c26904,25d30aed-f411-4577-a301-d2df1e4d5b3e,Playa Del Rey
9107bec7-ff11-443f-b63c-8c4cc705a7dc,25d30aed-f411-4577-a301-d2df1e4d5b3e,Inglewood
060fa2c9-c2a8-4175-8301-d214b702e463,25d30aed-f411-4577-a301-d2df1e4d5b3e,Santa Monica
d17e19f4-7a1c-490e-8ce1-72d2c31183cc,25d30aed-f411-4577-a301-d2df1e4d5b3e,Torrance
31765332-c78f-4c7a-b1a4-60af776610dc,25d30aed-f411-4577-a301-d2df1e4d5b3e,Whittier
b1be85c2-ee22-4ff8-84d8-2d9c3473d604,347f0333-6ca7-4fe5-89eb-a1e24d075606,Buena Park
d86e824d-ed17-471a-a16b-b8a5f89ee897,347f0333-6ca7-4fe5-89eb-a1e24d075606,La Palma
dc7c54f5-81a1-4d0e-9549-3b03b71a42f4,347f0333-6ca7-4fe5-89eb-a1e24d075606,Cypress
c6250fc0-940d-42be-af00-54540a57c1f6,347f0333-6ca7-4fe5-89eb-a1e24d075606,La Habra
06d63b88-47a4-463b-9eb6-a88315dd481f,25d30aed-f411-4577-a301-d2df1e4d5b3e,La Mirada
8c84647b-9c4d-43f2-8357-d132dc4f8846,25d30aed-f411-4577-a301-d2df1e4d5b3e,Montebello
3b825ea2-a09c-4421-a23f-8b0e23e807de,25d30aed-f411-4577-a301-d2df1e4d5b3e,Norwalk
b91bce99-537a-4a42-98e6-dd5b0956f47e,25d30aed-f411-4577-a301-d2df1e4d5b3e,Pico Rivera
08a7bbd4-91ac-4ee4-afda-d90cb2fcb37e,25d30aed-f411-4577-a301-d2df1e4d5b3e,Santa Fe Springs
a6d9aff7-1aef-440c-99ae-19877fe300ef,347f0333-6ca7-4fe5-89eb-a1e24d075606,Stanton
46acab92-f994-46a8-88de-134c28b20583,25d30aed-f411-4577-a301-d2df1e4d5b3e,Artesia
45aca39c-1a28-432c-b51c-86d96eca5524,25d30aed-f411-4577-a301-d2df1e4d5b3e,Cerritos
e1e27eb6-620e-4264-8296-df50d6a225ed,25d30aed-f411-4577-a301-d2df1e4d5b3e,Avalon
95d4cc2d-c28c-4b1d-887a-0d3b0c87167b,25d30aed-f411-4577-a301-d2df1e4d5b3e,Bellflower
fb879be5-4013-41a7-b700-7ba4a9b06828,25d30aed-f411-4577-a301-d2df1e4d5b3e,Harbor City
41d0fa53-b2f2-4932-8adf-13e421033265,25d30aed-f411-4577-a301-d2df1e4d5b3e,Lakewood
8709a152-b008-4ed0-8640-43d5fabf2f34,25d30aed-f411-4577-a301-d2df1e4d5b3e,Hawaiian Gardens
79561b95-f882-49c2-8f3c-9fe6a9147abe,25d30aed-f411-4577-a301-d2df1e4d5b3e,Lomita
648ef140-5389-4d7b-93e8-fda88fd316d7,347f0333-6ca7-4fe5-89eb-a1e24d075606,Los Alamitos
71521a36-c00e-4d53-a6ad-6d5006ed6f55,25d30aed-f411-4577-a301-d2df1e4d5b3e,Paramount
3fb2da29-427b-4e0b-afeb-622c56b85f1e,25d30aed-f411-4577-a301-d2df1e4d5b3e,San Pedro
64279ea4-393a-4f29-b2da-806a0fbef65b,347f0333-6ca7-4fe5-89eb-a1e24d075606,Seal Beach
17caf68d-3e7c-4605-9f03-66755035c9fa,347f0333-6ca7-4fe5-89eb-a1e24d075606,Sunset Beach
9229f685-bfe9-4f1b-99fb-b45f1e4b0178,347f0333-6ca7-4fe5-89eb-a1e24d075606,Surfside
49998e78-2985-4b7e-920b-f40a7e0066b1,25d30aed-f411-4577-a301-d2df1e4d5b3e,Wilmington
e8a6420e-dd73-4211-9bd4-baeb2497e305,25d30aed-f411-4577-a301-d2df1e4d5b3e,Carson
8c57a609-58da-41a8-8c67-fd5ddd1f3013,25d30aed-f411-4577-a301-d2df1e4d5b3e,Signal Hill
950a8afe-86e1-4d3d-a8d9-9e0e5800a38a,25d30aed-f411-4577-a301-d2df1e4d5b3e,Long Beach
bd2e9419-c314-41d9-bc56-8ddba5d32915,25d30aed-f411-4577-a301-d2df1e4d5b3e,Altadena
14dd6a53-b205-44c6-9d0a-6fb498375746,25d30aed-f411-4577-a301-d2df1e4d5b3e,Arcadia
c15a17e7-700d-44d8-b9f8-2233c3a34bbb,25d30aed-f411-4577-a301-d2df1e4d5b3e,Duarte
d493a44e-50ab-476d-bda3-8a1c79d8bb25,25d30aed-f411-4577-a301-d2df1e4d5b3e,La Canada Flintridge
77c1a5dd-8a14-49c9-a1c1-313d3c3be508,25d30aed-f411-4577-a301-d2df1e4d5b3e,Monrovia
80b12c00-a0f1-45b6-a6a6-2f2b5d273ec8,25d30aed-f411-4577-a301-d2df1e4d5b3e,Montrose
201a27ce-185f-444d-b3b0-74321ef880c4,25d30aed-f411-4577-a301-d2df1e4d5b3e,Mount Wilson
14291726-48e3-4e6b-8532-32d8d6f59573,25d30aed-f411-4577-a301-d2df1e4d5b3e,Sierra Madre
2d978594-30c7-4011-b8c1-d2a7dd7c70e4,25d30aed-f411-4577-a301-d2df1e4d5b3e,South Pasadena
11c827db-5a2b-458b-aa19-27f037592121,25d30aed-f411-4577-a301-d2df1e4d5b3e,Sunland
f915527a-0ae0-4a80-929e-26b68f839563,25d30aed-f411-4577-a301-d2df1e4d5b3e,Tujunga
2966137d-145f-4b39-964a-1fedddd0a288,25d30aed-f411-4577-a301-d2df1e4d5b3e,Verdugo City
955f5ffd-33aa-4796-8248-95ffe9beb2dd,25d30aed-f411-4577-a301-d2df1e4d5b3e,Pasadena
